dataset	n_seqs	aln_len	condition	impl	engine	threads	status	n_reps	wall_sec	wall_min	wall_max	reftree_sec	l1out_sec	max_rss_mb	n_mislabels
n400	400	242	upstream_py2_raxml_T1	upstream_py2	raxml	1	ok	3	37.57	35.07	37.87	1.0	36.0	28.0	25
n400	400	242	upstream_py2_raxml_T8	upstream_py2	raxml	8	ok	3	27.26	27.06	27.42	1.0	26.0	27.9	25
n400	400	242	upstream_py3_raxml_T1	upstream_py3	raxml	1	ok	3	35.87	35.37	36.07	1.0	35.0	23.4	24
n400	400	242	upstream_py3_raxml_T8	upstream_py3	raxml	8	ok	3	26.85	26.5	28.15	1.0	26.0	23.2	24
n400	400	242	upstream_py3_raxml_T8_gamma	upstream_py3	raxml	8	ok	1	27.46	27.46	27.46	1.0	27.0	23.6	24
n800	800	242	port_py3_epang_T1	port	epang	1	ok	1	12.58	12.58	12.58	2.0	10.0	432.6	50
n800	800	242	port_py3_epang_T16	port	epang	16	ok	1	5.52	5.52	5.52	1.0	4.0	470.9	47
n800	800	242	port_py3_epang_T1_K25	port	epang	1	ok	1	26.86	26.86	26.86	2.0	24.0	459.2	52
n800	800	242	port_py3_epang_T2	port	epang	2	ok	1	8.38	8.38	8.38	1.0	7.0	450.9	47
n800	800	242	port_py3_epang_T4	port	epang	4	ok	1	6.63	6.63	6.63	1.0	5.0	456.9	47
n800	800	242	port_py3_epang_T8	port	epang	8	ok	1	6.48	6.48	6.48	1.0	5.0	458.5	50
n800	800	242	port_py3_epang_T8_K100	port	epang	8	ok	1	70.29	70.29	70.29	1.0	69.0	510.8	49
n800	800	242	port_py3_epang_T8_K25	port	epang	8	ok	1	17.74	17.74	17.74	1.0	16.0	493.9	52
n800	800	242	port_py3_epang_T8_K25_catinfo	port	epang	8	ok	1	15.99	15.99	15.99	1.0	15.0	491.9	49
n800	800	242	port_py3_epang_T8_catinfo	port	epang	8	ok	1	5.47	5.47	5.47	1.0	4.0	464.3	47
n800	800	242	upstream_py2_raxml_T1	upstream_py2	raxml	1	ok	1	112.04	112.04	112.04	1.0	111.0	41.2	49
n800	800	242	upstream_py3_raxml_T1	upstream_py3	raxml	1	ok	3	108.95	108.83	111.64	1.0	108.0	35.1	48
n800	800	242	upstream_py3_raxml_T8	upstream_py3	raxml	8	ok	3	111.64	111.49	112.58	1.0	111.0	35.2	49
n800	800	242	upstream_py3_raxml_T8_gamma	upstream_py3	raxml	8	ok	1	105.67	105.67	105.67	1.0	104.0	41.5	49
n1600	1600	242	port_py3_epang_T1	port	epang	1	ok	1	35.07	35.07	35.07	5.0	29.0	825.5	133
n1600	1600	242	port_py3_epang_T16	port	epang	16	ok	1	11.69	11.69	11.69	2.0	10.0	874.9	134
n1600	1600	242	port_py3_epang_T1_K25	port	epang	1	ok	1	69.48	69.48	69.48	6.0	63.0	903.1	124
n1600	1600	242	port_py3_epang_T2	port	epang	2	ok	1	22.05	22.05	22.05	3.0	19.0	853.4	133
n1600	1600	242	port_py3_epang_T4	port	epang	4	ok	1	15.74	15.74	15.74	2.0	13.0	868.2	133
n1600	1600	242	port_py3_epang_T8	port	epang	8	ok	1	15.39	15.39	15.39	3.0	12.0	884.2	133
n1600	1600	242	port_py3_epang_T8_K100	port	epang	8	ok	1	167.11	167.11	167.11	45.0	121.0	1000.9	121
n1600	1600	242	port_py3_epang_T8_K25	port	epang	8	ok	1	38.04	38.04	38.04	3.0	34.0	964.0	124
n1600	1600	242	port_py3_epang_T8_K25_catinfo	port	epang	8	ok	1	36.13	36.13	36.13	2.0	34.0	964.7	124
n1600	1600	242	port_py3_epang_T8_K50	port	epang	8	ok	1	123.73	123.73	123.73	57.0	66.0	982.3	123
n1600	1600	242	port_py3_epang_T8_catinfo	port	epang	8	ok	1	12.64	12.64	12.64	2.0	10.0	884.9	135
n1600	1600	242	upstream_py2_raxml_T1	upstream_py2	raxml	1	ok	1	258.83	258.83	258.83	3.0	256.0	69.4	131
n1600	1600	242	upstream_py3_raxml_T1	upstream_py3	raxml	1	ok	1	257.39	257.39	257.39	3.0	254.0	63.9	118
n1600	1600	242	upstream_py3_raxml_T8	upstream_py3	raxml	8	ok	1	214.05	214.05	214.05	2.0	212.0	64.1	119
n1600	1600	242	upstream_py3_raxml_T8_gamma	upstream_py3	raxml	8	ok	1	397.3	397.3	397.3	3.0	394.0	82.7	119
n5402	5402	242	port_py3_epang_T1	port	epang	1	ok	3	720.13	694.93	727.67	13.0	707.0	2852.6	636
n5402	5402	242	port_py3_epang_T16	port	epang	16	ok	1	87.27	87.27	87.27	7.0	80.0	3083.9	602
n5402	5402	242	port_py3_epang_T1_K25	port	epang	1	ok	1	939.23	939.23	939.23	21.0	918.0	3100.7	634
n5402	5402	242	port_py3_epang_T2	port	epang	2	ok	1	387.65	387.65	387.65	12.0	375.0	2988.5	602
n5402	5402	242	port_py3_epang_T4	port	epang	4	ok	1	215.6	215.6	215.6	9.0	206.0	3036.4	604
n5402	5402	242	port_py3_epang_T8	port	epang	8	ok	1	131.98	131.98	131.98	12.0	120.0	3053.3	636
n5402	5402	242	port_py3_epang_T8_K25	port	epang	8	ok	1	271.34	271.34	271.34	12.0	258.0	3299.4	634
n5402	5402	242	port_py3_epang_T8_K25_catinfo	port	epang	8	ok	1	249.36	249.36	249.36	7.0	242.0	3302.0	576
n5402	5402	242	port_py3_epang_T8_K50	port	epang	8	ok	1	405.13	405.13	405.13	15.0	389.0	3340.6	576
n5402	5402	242	port_py3_epang_T8_catinfo	port	epang	8	ok	1	130.12	130.12	130.12	7.0	122.0	3063.5	604
n5402	5402	242	upstream_py3_raxml_T1	upstream_py3	raxml	1	ok	1	1535.89	1535.89	1535.89	12.0	1523.0	307.5	581
n5402	5402	242	upstream_py3_raxml_T8	upstream_py3	raxml	8	ok	1	1156.76	1156.76	1156.76	7.0	1149.0	307.5	584
